station,model,target,rmse,mae,r2,n_rows
AIIMS,multi_rf,y_SO2_t+1,0.5742413401603699,0.2097236067056656,-0.030465749906362,17823
AIIMS,multi_rf,y_CO_t+1,3.490328550338745,0.5126477479934692,-44.62210705211433,17823
AIIMS,multi_rf,y_O3_t+1,0.5259870290756226,0.2509598731994629,-0.8162539987888753,17823
AIIMS,multi_rf,y_NH3_t+1,0.3365569412708282,0.2404796779155731,-1.442722797357316,17823
AIIMS,multi_rf,y_NO_t+1,0.6020951867103577,0.3882973492145538,0.6715357652712999,17823
AIIMS,multi_rf,y_NOX_t+1,0.3604838848114013,0.2230616062879562,0.854393239022873,17823
AIIMS,multi_rf,y_BENZ_t+1,0.4833096265792846,0.3948010802268982,-1.4399866930421066,17823
BHATAGAON,multi_rf,y_PM2.5_t+1,8.108743667602539,2.935852766036988,0.7595267707492273,17704
BHATAGAON,multi_rf,y_PM10_t+1,0.5343416929244995,0.2151882797479629,0.4801688749343705,17704
BHATAGAON,multi_rf,y_NO2_t+1,0.4676886200904846,0.2599587142467499,-0.7897779658907458,17704
BHATAGAON,multi_rf,y_SO2_t+1,0.4468022882938385,0.2051510512828827,-1.282477423081914,17704
BHATAGAON,multi_rf,y_CO_t+1,1.0517578125,0.4105518758296966,0.2858516530574032,17704
BHATAGAON,multi_rf,y_O3_t+1,0.8152447938919067,0.2303144931793213,0.0328350761818269,17704
BHATAGAON,multi_rf,y_NH3_t+1,0.1603062748908996,0.107103407382965,-186.13238824911448,17704
BHATAGAON,multi_rf,y_NO_t+1,0.7361896634101868,0.3741442859172821,0.5202497389682086,17704
BHATAGAON,multi_rf,y_NOX_t+1,0.2505925893783569,0.1647603064775467,0.7952732994650002,17704
BHATAGAON,multi_rf,y_BENZ_t+1,0.1303429007530212,0.0819796770811081,-0.3061576520826317,17704
IGKV,multi_rf,y_PM2.5_t+1,10.491929054260254,3.659469127655029,0.5700516489205496,12901
IGKV,multi_rf,y_PM10_t+1,0.2491016834974289,0.1776676476001739,0.7791418431452055,12901
IGKV,multi_rf,y_NO2_t+1,0.2803847193717956,0.2012353688478469,-0.7149998967923048,12901
IGKV,multi_rf,y_SO2_t+1,0.3504329025745392,0.1644216477870941,0.2707263080386523,12901
IGKV,multi_rf,y_CO_t+1,0.5322347283363342,0.2947457730770111,-0.5726635764400336,12901
